x,y,objet
87.3975,15.6123,carre
85.1526,16.7348,carre
86.2751,16.7348,carre
87.3975,16.7348,carre
88.52,15.6123,carre
89.6424,15.6123,carre
88.52,16.7348,carre
89.6424,16.7348,carre
90.7649,15.6123,carre
91.8874,15.6123,carre
90.7649,16.7348,carre
91.8874,16.7348,carre
93.0098,15.6123,carre
94.1323,15.6123,carre
93.0098,16.7348,carre
94.1323,16.7348,carre
95.2548,15.6123,carre
96.3772,15.6123,carre
97.4997,15.6123,carre
95.2548,16.7348,carre
96.3772,16.7348,carre
97.4997,16.7348,carre
98.6221,15.6123,carre
99.7446,15.6123,carre
98.6221,16.7348,carre
99.7446,16.7348,carre
100.867,15.6123,carre
101.99,15.6123,carre
100.867,16.7348,carre
101.99,16.7348,carre
103.112,15.6123,carre
104.234,15.6123,carre
103.112,16.7348,carre
104.234,16.7348,carre
105.357,15.6123,carre
106.479,15.6123,carre
105.357,16.7348,carre
106.479,16.7348,carre
107.602,15.6123,carre
108.724,15.6123,carre
109.847,15.6123,carre
107.602,16.7348,carre
108.724,16.7348,carre
109.847,16.7348,carre
110.969,15.6123,carre
112.092,15.6123,carre
110.969,16.7348,carre
112.092,16.7348,carre
113.214,15.6123,carre
114.337,15.6123,carre
113.214,16.7348,carre
114.337,16.7348,carre
115.459,15.6123,carre
116.582,15.6123,carre
115.459,16.7348,carre
116.582,16.7348,carre
117.704,15.6123,carre
118.826,15.6123,carre
119.949,15.6123,carre
117.704,16.7348,carre
118.826,16.7348,carre
119.949,16.7348,carre
121.071,15.6123,carre
122.194,15.6123,carre
121.071,16.7348,carre
122.194,16.7348,carre
123.316,15.6123,carre
124.439,15.6123,carre
123.316,16.7348,carre
124.439,16.7348,carre
125.561,15.6123,carre
126.684,15.6123,carre
125.561,16.7348,carre
126.684,16.7348,carre
127.806,15.6123,carre
128.929,15.6123,carre
127.806,16.7348,carre
128.929,16.7348,carre
130.051,15.6123,carre
131.174,15.6123,carre
132.296,15.6123,carre
130.051,16.7348,carre
131.174,16.7348,carre
132.296,16.7348,carre
133.418,15.6123,carre
134.541,15.6123,carre
133.418,16.7348,carre
134.541,16.7348,carre
135.663,15.6123,carre
136.786,15.6123,carre
135.663,16.7348,carre
136.786,16.7348,carre
137.908,15.6123,carre
139.031,15.6123,carre
137.908,16.7348,carre
139.031,16.7348,carre
140.153,15.6123,carre
141.276,15.6123,carre
142.398,15.6123,carre
140.153,16.7348,carre
141.276,16.7348,carre
142.398,16.7348,carre
143.521,15.6123,carre
144.643,15.6123,carre
143.521,16.7348,carre
144.643,16.7348,carre
145.766,15.6123,carre
146.888,15.6123,carre
145.766,16.7348,carre
146.888,16.7348,carre
148.01,15.6123,carre
149.133,15.6123,carre
148.01,16.7348,carre
149.133,16.7348,carre
150.255,15.6123,carre
151.378,15.6123,carre
150.255,16.7348,carre
151.378,16.7348,carre
152.5,15.6123,carre
153.623,15.6123,carre
154.745,15.6123,carre
152.5,16.7348,carre
153.623,16.7348,carre
154.745,16.7348,carre
155.868,15.6123,carre
156.99,15.6123,carre
155.868,16.7348,carre
156.99,16.7348,carre
158.113,15.6123,carre
159.235,15.6123,carre
158.113,16.7348,carre
159.235,16.7348,carre
160.358,15.6123,carre
161.48,15.6123,carre
160.358,16.7348,carre
161.48,16.7348,carre
162.602,15.6123,carre
163.725,15.6123,carre
164.847,15.6123,carre
162.602,16.7348,carre
163.725,16.7348,carre
164.847,16.7348,carre
165.97,15.6123,carre
167.092,15.6123,carre
165.97,16.7348,carre
167.092,16.7348,carre
168.215,15.6123,carre
169.337,15.6123,carre
168.215,16.7348,carre
169.337,16.7348,carre
170.46,15.6123,carre
171.582,15.6123,carre
170.46,16.7348,carre
171.582,16.7348,carre
172.705,15.6123,carre
173.827,15.6123,carre
174.95,15.6123,carre
172.705,16.7348,carre
173.827,16.7348,carre
174.95,16.7348,carre
176.072,15.6123,carre
177.194,15.6123,carre
176.072,16.7348,carre
177.194,16.7348,carre
178.317,15.6123,carre
179.439,15.6123,carre
178.317,16.7348,carre
179.439,16.7348,carre
180.562,15.6123,carre
181.684,15.6123,carre
180.562,16.7348,carre
181.684,16.7348,carre
182.807,15.6123,carre
183.929,15.6123,carre
182.807,16.7348,carre
183.929,16.7348,carre
185.052,15.6123,carre
186.174,15.6123,carre
187.297,15.6123,carre
185.052,16.7348,carre
186.174,16.7348,carre
187.297,16.7348,carre
188.419,15.6123,carre
189.542,15.6123,carre
188.419,16.7348,carre
189.542,16.7348,carre
190.664,15.6123,carre
191.786,15.6123,carre
190.664,16.7348,carre
191.786,16.7348,carre
192.909,15.6123,carre
194.031,15.6123,carre
192.909,16.7348,carre
194.031,16.7348,carre
195.154,15.6123,carre
196.276,15.6123,carre
197.399,15.6123,carre
195.154,16.7348,carre
196.276,16.7348,carre
197.399,16.7348,carre
198.521,15.6123,carre
199.644,15.6123,carre
198.521,16.7348,carre
199.644,16.7348,carre
200.766,15.6123,carre
201.889,15.6123,carre
200.766,16.7348,carre
201.889,16.7348,carre
203.011,15.6123,carre
204.134,15.6123,carre
203.011,16.7348,carre
204.134,16.7348,carre
205.256,15.6123,carre
206.378,15.6123,carre
205.256,16.7348,carre
206.378,16.7348,carre
207.501,15.6123,carre
208.623,15.6123,carre
209.746,15.6123,carre
207.501,16.7348,carre
208.623,16.7348,carre
209.746,16.7348,carre
210.868,15.6123,carre
211.991,15.6123,carre
210.868,16.7348,carre
211.991,16.7348,carre
213.113,15.6123,carre
214.236,15.6123,carre
213.113,16.7348,carre
214.236,16.7348,carre
35.7643,17.8572,carre
36.8867,17.8572,carre
35.7643,18.9797,carre
36.8867,18.9797,carre
38.0092,17.8572,carre
39.1317,17.8572,carre
38.0092,18.9797,carre
39.1317,18.9797,carre
40.2541,17.8572,carre
41.3766,17.8572,carre
42.499,17.8572,carre
40.2541,18.9797,carre
41.3766,18.9797,carre
42.499,18.9797,carre
43.6215,17.8572,carre
44.744,17.8572,carre
43.6215,18.9797,carre
44.744,18.9797,carre
45.8664,17.8572,carre
46.9889,17.8572,carre
45.8664,18.9797,carre
46.9889,18.9797,carre
48.1113,17.8572,carre
49.2338,17.8572,carre
48.1113,18.9797,carre
49.2338,18.9797,carre
